move,type,step,energies,temp,current_energy
ini,I,1,2.5e+18,0.02,0
ini,I,2,2e+19,0.02,0
ini,I,3,2e+19,0.02,0
ini,I,4,2e+19,0.02,0
ini,I,5,2e+19,0.02,0
ini,I,6,2.5e+18,0.02,0
ini,I,7,6.666666666666667e+18,0.02,0
ini,I,8,2e+19,0.02,0
ini,I,9,2e+19,0.02,0
ini,I,10,2e+18,0.02,0
ini,I,11,3.3333333333333335e+18,0.02,0
ini,I,12,2e+19,0.02,0
ini,I,13,2e+18,0.02,0
ini,I,14,2e+19,0.02,0
ini,I,15,2e+19,0.02,0
ini,I,16,2e+19,0.02,0
ini,I,17,2e+19,0.02,0
ini,I,18,2e+19,0.02,0
ini,I,19,1.818181818181818e+18,0.02,0
ini,I,20,2.5e+18,0.02,0
ini,I,21,2.5e+18,0.02,0
ini,I,22,1.5384615384615386e+18,0.02,0
ini,I,23,2e+19,0.02,0
ini,I,24,2e+19,0.02,0
ini,I,25,2e+19,0.02,0
ini,I,26,6.666666666666667e+18,0.02,0
ini,I,27,5e+18,0.02,0
ini,I,28,2e+19,0.02,0
ini,I,29,2e+19,0.02,0
ini,I,30,2e+19,0.02,0
ini,I,31,6.666666666666667e+18,0.02,0
ini,I,32,2e+19,0.02,0
ini,I,33,2e+19,0.02,0
ini,I,34,2e+19,0.02,0
ini,I,35,2e+19,0.02,0
ini,I,36,2e+18,0.02,0
ini,I,37,1e+19,0.02,0
ini,I,38,2.857142857142857e+18,0.02,0
ini,I,39,2.5e+18,0.02,0
ini,I,40,2e+19,0.02,0
ini,I,41,2e+19,0.02,0
ini,I,42,2e+19,0.02,0
ini,I,43,2e+19,0.02,0
ini,I,44,2.5e+18,0.02,0
ini,I,45,2e+19,0.02,0
ini,I,46,2e+19,0.02,0
ini,I,47,6.666666666666667e+18,0.02,0
ini,I,48,6.666666666666667e+18,0.02,0
ini,I,49,6.666666666666667e+18,0.02,0
ini,I,50,2e+19,0.02,0
ini,I,51,2e+19,0.02,0
ini,I,52,5e+18,0.02,0
ini,I,53,1e+19,0.02,0
ini,I,54,2e+19,0.02,0
ini,I,55,2e+19,0.02,0
ini,I,56,5e+18,0.02,0
ini,I,57,2e+19,0.02,0
ini,I,58,2e+19,0.02,0
ini,I,59,2e+19,0.02,0
ini,I,60,2e+19,0.02,0
ini,I,61,2e+19,0.02,0
ini,I,62,6.666666666666667e+18,0.02,0
ini,I,63,2e+19,0.02,0
ini,I,64,2e+19,0.02,0
ini,I,65,2.857142857142857e+18,0.02,0
ini,I,66,2e+19,0.02,0
ini,I,67,2e+19,0.02,0
ini,I,68,2e+19,0.02,0
ini,I,69,2e+19,0.02,0
ini,I,70,2e+19,0.02,0
ini,I,71,1e+19,0.02,0
ini,I,72,1e+19,0.02,0
ini,I,73,2e+19,0.02,0
ini,I,74,2e+19,0.02,0
ini,I,75,2e+19,0.02,0
ini,I,76,2.857142857142857e+18,0.02,0
ini,I,77,2e+19,0.02,0
ini,I,78,2e+19,0.02,0
ini,I,79,2e+19,0.02,0
ini,I,80,2e+19,0.02,0
ini,I,81,2.5e+18,0.02,0
ini,I,82,2e+19,0.02,0
ini,I,83,2e+19,0.02,0
ini,I,84,2e+19,0.02,0
ini,I,85,2e+19,0.02,0
ini,I,86,2e+19,0.02,0
ini,I,87,6.666666666666667e+18,0.02,0
ini,I,88,2e+19,0.02,0
ini,I,89,2e+19,0.02,0
ini,I,90,1.5384615384615386e+18,0.02,0
ini,I,91,2e+19,0.02,0
ini,I,92,5e+18,0.02,0
ini,I,93,6.666666666666667e+18,0.02,0
ini,I,94,1e+19,0.02,0
ini,I,95,2e+19,0.02,0
ini,I,96,2e+19,0.02,0
ini,I,97,2e+19,0.02,0
ini,I,98,2e+19,0.02,0
ini,I,99,2e+19,0.02,0
ini,I,100,2e+19,0.02,0
